fid,hilarriid,nididfull,nidid,otrstrctid,grand_id,dam_name,longitude,latitude,state,loc_flag,eha_cmplx,eha_ptid,pt_name,pt_lat,pt_lon,eia_ptid,fcdocket,nhdv2comid,nhdwbcomid,nhdwbflag,hylake_id,hylakeflag,lagoslkid,lagosflag,nhdhr_id,nhdhr_flag,huc_02,huc_12,ehadamflag,statusflag,ra2012_flag,pipestatus,ret_year,ar_rem_id,rem_year,dataset,atrbtnotes,loc_type,prjct_type,prjct_dtl,usgs_gage,gage_flag,sed_dsnum,NLA_2007,NLA_2012,NLA_2017,NLA_2022
"20","810",NC00374,NC00374,NA,"1791",CATAWBA,-81.837721,35.744199,NC,NA,hc1331,hc1331_p01,BRIDGEWATER,35.7433,-81.8387,"2719",P-2232,"9753070","9751286",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"9342",Multiple infrastructure features matched to this waterbody. Waterbody is not accurate.,"164464",NA,"141327590",NA,"03","030501010303",Dam consists of several structures listed separately in the NID. This is a secondary structure.,Hydropower is a reported purpose in the NID and GRanDv1.3. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"21","170",ME83016,ME83016,NA,"-9999",BENTON FALLS                                                     ,-69.5542996,44.5800865,ME,EHAFY24 location is inaccurate. Updated plant location with OSM.,hc1881,hc1881_p01,BENTON FALLS,44.5800978,-69.554655,"10523",P-5073,"3322324","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"01","010300032106",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"22","3353",CA00749,CA00749,NA,"-9999",SYPHON CANYON,-117.7326,33.7097,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","20355216",NA,"-9999",NA,"481912",NA,"126859520",NA,"18","180702040103",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-11048540,NA,"-9999",NA,NA,NA,NA
"23","3354",CA00712,CA00712,NA,"-9999",LARSON,-118.8494,36.0346,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"14931035","14930133",NA,"-9999",NA,"476935",NA,{2EFA99A6-B312-4626-A7D2-A314E13118FC},NA,"18","180300060303",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-11204500,NA,"-9999",NA,NA,NA,NA
"24","1243",NY00015,NY00015,NA,"-9999",PYRITES INTAKE                                                   ,-75.1877,44.5165,NY,NA,hc1935,hc1935_p01,PYRITES PLANT,44.5165,-75.1877,"10547",P-6115,"15476303","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"04","041503040403",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-04265000,NA,"-9999",NA,NA,NA,NA
"25","3355",CA01373,CA01373,NA,"-9999",HICKORY BASIN,-117.5144,34.0925,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"948070529","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"18","180702030804",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"26","3356",CA00107,CA00107,NA,"-9999",CHOLLAS,-117.0649,32.738,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","20331042",NA,"-9999",NA,"482394",NA,"27738215",NA,"18","180703041201",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"27","3357",CA00606,CA00606,NA,"-9999",GEORGETOWN CNTRL,-120.7751,38.9232,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"476372",NA,"61223405",NA,"18","180201280502",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-11433400,NA,"-9999",NA,NA,NA,NA
"28","3358",CA00355,CA00355,NA,"-9999",LAKE ALTA,-120.8167,39.2025,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"14993731","14991573",NA,"-9999",NA,"475534",NA,"61222319",NA,"18","180201280107",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"29","3359",WI00302,WI00302,NA,"-9999",OAK STREET,-89.74246,43.46676,WI,NA,NA,NA,NA,-9999,-9999,NA,NA,"13654304","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"07","070700040402",Dam removed according to American Rivers.,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",WI-066,"2000","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"30","3360",CA00389,CA00389,NA,"-9999",PHOENIX,-120.3273,37.9998,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"17085647","120053834",NA,"1058372",NA,"479510",NA,"66756817",NA,"18","180400091102",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"31","3361",OR03899,OR03899,NA,"-9999",JOHAN VINEYARD RESERVOIR H,-123.223121,45.009554,OR,Satellite Imagery,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"468348",NA,{97C212DA-1E78-4353-B0B7-07A976000062},NA,"17","170900080502",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"32","3362",CA00101,CA00101,NA,"-9999",LOWER VAN NORMAN BYPASS,-118.485,34.2912,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"481889",NA,"27693264",NA,"18","180701050204",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"33","1468",WI01014,WI01014,NA,"-9999",PICKEREL CANAL                                                   ,-89.53565,45.87234,WI,NID2019,NA,NA,NA,-9999,-9999,NA,NA,"13395643","13393863",NA,"108314",NA,"4349",NA,"70332489",NA,"07","070700010503",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"34","3363",CA01213,CA01213,NA,"-9999",ANTELOPE,-118.4374,35.1064,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"18","180300030202",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"35","3364",WI00149,WI00149,NA,"-9999",WARD PAPER COMPANY,-89.68737,45.19153,WI,NA,NA,NA,NA,-9999,-9999,NA,NA,"14727196","14726680",NA,"1039759",NA,"-9999",NA,NA,NA,"07","070700020306",Dam removed according to American Rivers.,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",WI-064,"1999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"36","3365",CA00356,CA00356,NA,"-9999",LAKE ARTHUR,-121.0257,38.9635,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"15009503","15006711",NA,"-9999",NA,"474721",NA,"130144126",NA,"18","180201610201",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"37","3366",ME00193,ME00193,NA,"-9999",WHISKEAG,-69.83436,43.9237,ME,NA,NA,NA,NA,-9999,-9999,NA,NA,"5205014","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"01","010500030603",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"38","3367",CA01226,CA01226,NA,"-9999",BLACK BUTTE REREGULATING,-122.3303,39.8139,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"12074526","12070292",Waterbody is not accurate.,"-9999",NA,"474854",NA,"129931009",NA,"18","180201150603",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-11388000,NA,"-9999",NA,NA,NA,NA
"39","3368",CA00087,CA00087,NA,"-9999",UPPER HOLLYWOOD,-118.3352,34.1247,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","20364627",NA,"1061927",NA,"-9999",NA,"132735522",NA,"18","180701040300",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-11103500,NA,"-9999",NA,NA,NA,NA
"40","3369",NC00747,NC00747,NA,"-9999",SELLERS MANUFACTURING COMPANY,-79.326,35.948,NC,NA,hc1857,hc1857_p01,SAXAPAHAW,35.9479,-79.3258,"10258",P-4509,"8897512","-9999",NA,"1060021",NA,"155427",NA,"46371373",NA,"03","030300020502",Structure is listed multiple times in NID. Use other record.,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"41","3370",CA01010,CA01010,NA,"-9999",GREEN OAKS #1,-122.3174,37.1275,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"17682326","17682072",NA,"-9999",NA,"480636",NA,"142508277",NA,"18","180500060303",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"42","3371",ME96016,ME96016,NA,"-9999",UPPER BARTLETT,-70.77127,43.18332,ME,NA,NA,NA,NA,-9999,-9999,NA,NA,"5845546","-9999",NA,"1049025",NA,"24791",NA,"141033459",NA,"01","010600031103",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"43","3372",CA00835,CA00835,NA,"-9999",BERENDA SLOUGH,-120.1885,37.13,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"19777601","19770737",NA,"1059310",NA,"478874",NA,NA,NA,"18","180400070503",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"44","3373",WI00184,WI00184,NA,"-9999",STEBBINSVILLE,-89.17278,42.84366,WI,NA,NA,NA,NA,-9999,-9999,NA,NA,"13296756","-9999",NA,"1049834",NA,"31782",NA,"143250505",NA,"07","070900020905",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"45","3374",MD00099,MD00099,NA,"-9999",FAIRLEE LAKE,-76.16972,39.2456,MD,NA,NA,NA,NA,-9999,-9999,NA,NA,"4767426","4765972",NA,"-9999",NA,"142645",NA,"112211754",NA,"02","020600020502",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"46","3375",CA00360,CA00360,NA,"-9999",LAKE THEODORE,-121.0136,38.973,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"15009501","15006707",NA,"-9999",NA,"476078",NA,"130144099",NA,"18","180201610201",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"47","3376",CA00084,CA00084,NA,"-9999",TINEMAHA,-118.2281,37.0558,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"163864515","20277691",NA,"112733",NA,"482873",NA,"77318098",NA,"18","180901020804",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-10277400,NA,"-9999",NA,NA,NA,NA
"48","3377",CA00262,CA00262,NA,"-9999",RODDEN LAKE,-120.7654,37.8181,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"2826170","2822276",NA,"1058558",NA,"479771",NA,"145017202",NA,"18","180400100702",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"49","3378",CA00906,CA00906,NA,"-9999",SAN DIEGUITO,-117.1974,33.0405,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"20341991","20341433",NA,"-9999",NA,"481937",NA,"27830039",NA,"18","180703030402",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"50","3379",WI00219,WI00219,NA,"-9999",LA FARGE,-90.64416,43.58645,WI,NA,NA,NA,NA,-9999,-9999,NA,NA,"13624991","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"07","070700060307",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-05408000,NA,"-9999",NA,NA,NA,NA
